;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Population;Year
0;7;BRA;Brazil;Brasilia;South America;8515767;25.2841;1.0046;2.7;1.212271251778629;96369875;1970
1;7;BRA;Brazil;Brasilia;South America;8515767;25.2841;1.0046;2.7;1.212271251778629;122288383;1980
2;7;BRA;Brazil;Brasilia;South America;8515767;25.2841;1.0046;2.7;1.212271251778629;150706446;1990
3;7;BRA;Brazil;Brasilia;South America;8515767;25.2841;1.0046;2.7;1.212271251778629;175873720;2000
4;7;BRA;Brazil;Brasilia;South America;8515767;25.2841;1.0046;2.7;1.212271251778629;196353492;2010
5;7;BRA;Brazil;Brasilia;South America;8515767;25.2841;1.0046;2.7;1.212271251778629;205188205;2015
6;7;BRA;Brazil;Brasilia;South America;8515767;25.2841;1.0046;2.7;1.212271251778629;213196304;2020
7;7;BRA;Brazil;Brasilia;South America;8515767;25.2841;1.0046;2.7;1.212271251778629;215313498;2022
8;28;COL;Colombia;Bogota;South America;1141748;45.4339;1.0069;0.65;1.4362613341124677;20905254;1970
9;28;COL;Colombia;Bogota;South America;1141748;45.4339;1.0069;0.65;1.4362613341124677;26176195;1980
10;28;COL;Colombia;Bogota;South America;1141748;45.4339;1.0069;0.65;1.4362613341124677;32601393;1990
11;28;COL;Colombia;Bogota;South America;1141748;45.4339;1.0069;0.65;1.4362613341124677;39215135;2000
12;28;COL;Colombia;Bogota;South America;1141748;45.4339;1.0069;0.65;1.4362613341124677;44816108;2010
13;28;COL;Colombia;Bogota;South America;1141748;45.4339;1.0069;0.65;1.4362613341124677;47119728;2015
14;28;COL;Colombia;Bogota;South America;1141748;45.4339;1.0069;0.65;1.4362613341124677;50930662;2020
15;28;COL;Colombia;Bogota;South America;1141748;45.4339;1.0069;0.65;1.4362613341124677;51874024;2022
16;33;ARG;Argentina;Buenos Aires;South America;2780400;16.3683;1.0052;0.57;0.8888732167941832;23842803;1970
17;33;ARG;Argentina;Buenos Aires;South America;2780400;16.3683;1.0052;0.57;0.8888732167941832;28024803;1980
