;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Growth (70-80);Growth (80-90);Growth (90-00);Growth (00-10);Growth (10-20);Growth (20-22);Population;Year
0;9;RUS;Russia;Moscow;Europe;17098242;8.4636;0.9973;1.81;0.11933246067563508;0.06275825273010441;0.07050821576158445;-0.007843380144322004;-0.03243631190878966;0.016578378335623468;-0.006208155349422733;130093010;1970
1;9;RUS;Russia;Moscow;Europe;17098242;8.4636;0.9973;1.81;0.11933246067563508;0.06275825273010441;0.07050821576158445;-0.007843380144322004;-0.03243631190878966;0.016578378335623468;-0.006208155349422733;138257420;1980
2;9;RUS;Russia;Moscow;Europe;17098242;8.4636;0.9973;1.81;0.11933246067563508;0.06275825273010441;0.07050821576158445;-0.007843380144322004;-0.03243631190878966;0.016578378335623468;-0.006208155349422733;148005704;1990
3;9;RUS;Russia;Moscow;Europe;17098242;8.4636;0.9973;1.81;0.11933246067563508;0.06275825273010441;0.07050821576158445;-0.007843380144322004;-0.03243631190878966;0.016578378335623468;-0.006208155349422733;146844839;2000
4;9;RUS;Russia;Moscow;Europe;17098242;8.4636;0.9973;1.81;0.11933246067563508;0.06275825273010441;0.07050821576158445;-0.007843380144322004;-0.03243631190878966;0.016578378335623468;-0.006208155349422733;143242599;2010
5;9;RUS;Russia;Moscow;Europe;17098242;8.4636;0.9973;1.81;0.11933246067563508;0.06275825273010441;0.07050821576158445;-0.007843380144322004;-0.03243631190878966;0.016578378335623468;-0.006208155349422733;144668389;2015
6;9;RUS;Russia;Moscow;Europe;17098242;8.4636;0.9973;1.81;0.11933246067563508;0.06275825273010441;0.07050821576158445;-0.007843380144322004;-0.03243631190878966;0.016578378335623468;-0.006208155349422733;145617329;2020
7;9;RUS;Russia;Moscow;Europe;17098242;8.4636;0.9973;1.81;0.11933246067563508;0.06275825273010441;0.07050821576158445;-0.007843380144322004;-0.03243631190878966;0.016578378335623468;-0.006208155349422733;144713314;2022
8;19;DEU;Germany;Berlin;Europe;357114;233.4544;0.9995;1.05;0.0643008086523687;-0.006486783383213114;0.02035685970647194;0.027484888660222032;0.023971229923328247;0.024640587548074033;0.0004902855654505249;78294583;1970
9;19;DEU;Germany;Berlin;Europe;357114;233.4544;0.9995;1.05;0.0643008086523687;-0.006486783383213114;0.02035685970647194;0.027484888660222032;0.023971229923328247;0.024640587548074033;0.0004902855654505249;77786703;1980
10;19;DEU;Germany;Berlin;Europe;357114;233.4544;0.9995;1.05;0.0643008086523687;-0.006486783383213114;0.02035685970647194;0.027484888660222032;0.023971229923328247;0.024640587548074033;0.0004902855654505249;79370196;1990
11;19;DEU;Germany;Berlin;Europe;357114;233.4544;0.9995;1.05;0.0643008086523687;-0.006486783383213114;0.02035685970647194;0.027484888660222032;0.023971229923328247;0.024640587548074033;0.0004902855654505249;81551677;2000
12;19;DEU;Germany;Berlin;Europe;357114;233.4544;0.9995;1.05;0.0643008086523687;-0.006486783383213114;0.02035685970647194;0.027484888660222032;0.023971229923328247;0.024640587548074033;0.0004902855654505249;81325090;2010
13;19;DEU;Germany;Berlin;Europe;357114;233.4544;0.9995;1.05;0.0643008086523687;-0.006486783383213114;0.02035685970647194;0.027484888660222032;0.023971229923328247;0.024640587548074033;0.0004902855654505249;82073226;2015
14;19;DEU;Germany;Berlin;Europe;357114;233.4544;0.9995;1.05;0.0643008086523687;-0.006486783383213114;0.02035685970647194;0.027484888660222032;0.023971229923328247;0.024640587548074033;0.0004902855654505249;83328988;2020
15;19;DEU;Germany;Berlin;Europe;357114;233.4544;0.9995;1.05;0.0643008086523687;-0.006486783383213114;0.02035685970647194;0.027484888660222032;0.023971229923328247;0.024640587548074033;0.0004902855654505249;83369843;2022
16;21;GBR;United Kingdom;London;Europe;242900;277.9289;1.0034;0.85;0.20501840012480826;0.012150224313796297;0.01569628327271751;0.02865912135410525;0.09430064477607944;0.06850593257279525;0.006702438495118528;55650166;1970
17;21;GBR;United Kingdom;London;Europe;242900;277.9289;1.0034;0.85;0.20501840012480826;0.012150224313796297;0.01569628327271751;0.02865912135410525;0.09430064477607944;0.06850593257279525;0.006702438495118528;56326328;1980
18;21;GBR;United Kingdom;London;Europe;242900;277.9289;1.0034;0.85;0.20501840012480826;0.012150224313796297;0.01569628327271751;0.02865912135410525;0.09430064477607944;0.06850593257279525;0.006702438495118528;57210442;1990
19;21;GBR;United Kingdom;London;Europe;242900;277.9289;1.0034;0.85;0.20501840012480826;0.012150224313796297;0.01569628327271751;0.02865912135410525;0.09430064477607944;0.06850593257279525;0.006702438495118528;58850043;2000
20;21;GBR;United Kingdom;London;Europe;242900;277.9289;1.0034;0.85;0.20501840012480826;0.012150224313796297;0.01569628327271751;0.02865912135410525;0.09430064477607944;0.06850593257279525;0.006702438495118528;62760039;2010
21;21;GBR;United Kingdom;London;Europe;242900;277.9289;1.0034;0.85;0.20501840012480826;0.012150224313796297;0.01569628327271751;0.02865912135410525;0.09430064477607944;0.06850593257279525;0.006702438495118528;65224364;2015
