;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Growth (70-80);Growth (80-90);Growth (90-00);Growth (00-10);Growth (10-20);Growth (20-22);Population;Year
0;6;NGA;Nigeria;Abuja;Africa;923768;236.5759;1.0241;2.74;2.7489682245926454;0.3128019654894116;0.3051731165988378;0.29026878821309293;0.5351040647418441;0.2943380692978459;0.04902766873134142;55569264;1970
1;6;NGA;Nigeria;Abuja;Africa;923768;236.5759;1.0241;2.74;2.7489682245926454;0.3128019654894116;0.3051731165988378;0.29026878821309293;0.5351040647418441;0.2943380692978459;0.04902766873134142;72951439;1980
2;6;NGA;Nigeria;Abuja;Africa;923768;236.5759;1.0241;2.74;2.7489682245926454;0.3128019654894116;0.3051731165988378;0.29026878821309293;0.5351040647418441;0.2943380692978459;0.04902766873134142;95214257;1990
3;6;NGA;Nigeria;Abuja;Africa;923768;236.5759;1.0241;2.74;2.7489682245926454;0.3128019654894116;0.3051731165988378;0.29026878821309293;0.5351040647418441;0.2943380692978459;0.04902766873134142;122851984;2000
4;6;NGA;Nigeria;Abuja;Africa;923768;236.5759;1.0241;2.74;2.7489682245926454;0.3128019654894116;0.3051731165988378;0.29026878821309293;0.5351040647418441;0.2943380692978459;0.04902766873134142;160952853;2010
5;6;NGA;Nigeria;Abuja;Africa;923768;236.5759;1.0241;2.74;2.7489682245926454;0.3128019654894116;0.3051731165988378;0.29026878821309293;0.5351040647418441;0.2943380692978459;0.04902766873134142;183995785;2015
6;6;NGA;Nigeria;Abuja;Africa;923768;236.5759;1.0241;2.74;2.7489682245926454;0.3128019654894116;0.3051731165988378;0.29026878821309293;0.5351040647418441;0.2943380692978459;0.04902766873134142;208327405;2020
7;6;NGA;Nigeria;Abuja;Africa;923768;236.5759;1.0241;2.74;2.7489682245926454;0.3128019654894116;0.3051731165988378;0.29026878821309293;0.5351040647418441;0.2943380692978459;0.04902766873134142;218541212;2022
8;12;ETH;Ethiopia;Addis Ababa;Africa;1104300;111.7268;1.0257;1.55;3.1398153386119367;0.23446253081169352;0.3700795659660484;0.4000535694074404;0.6170157546111613;0.31324307433831483;0.052811373742115544;28308246;1970
9;12;ETH;Ethiopia;Addis Ababa;Africa;1104300;111.7268;1.0257;1.55;3.1398153386119367;0.23446253081169352;0.3700795659660484;0.4000535694074404;0.6170157546111613;0.31324307433831483;0.052811373742115544;34945469;1980
10;12;ETH;Ethiopia;Addis Ababa;Africa;1104300;111.7268;1.0257;1.55;3.1398153386119367;0.23446253081169352;0.3700795659660484;0.4000535694074404;0.6170157546111613;0.31324307433831483;0.052811373742115544;47878073;1990
