;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Growth (70-80);Growth (80-90);Growth (90-00);Growth (00-10);Growth (10-20);Growth (20-22);Population;Year
0;55;AUS;Australia;Canberra;Oceania;7692024;3.4032;1.0099;0.33;1.0381089086381188;0.167628606639728;0.15922954767344275;0.11555371030847425;0.26139313658355523;0.16580476610197079;0.01976474452660807;12595034;1970
1;55;AUS;Australia;Canberra;Oceania;7692024;3.4032;1.0099;0.33;1.0381089086381188;0.167628606639728;0.15922954767344275;0.11555371030847425;0.26139313658355523;0.16580476610197079;0.01976474452660807;14706322;1980
2;55;AUS;Australia;Canberra;Oceania;7692024;3.4032;1.0099;0.33;1.0381089086381188;0.167628606639728;0.15922954767344275;0.11555371030847425;0.26139313658355523;0.16580476610197079;0.01976474452660807;17048003;1990
3;55;AUS;Australia;Canberra;Oceania;7692024;3.4032;1.0099;0.33;1.0381089086381188;0.167628606639728;0.15922954767344275;0.11555371030847425;0.26139313658355523;0.16580476610197079;0.01976474452660807;19017963;2000
4;55;AUS;Australia;Canberra;Oceania;7692024;3.4032;1.0099;0.33;1.0381089086381188;0.167628606639728;0.15922954767344275;0.11555371030847425;0.26139313658355523;0.16580476610197079;0.01976474452660807;22019168;2010
5;55;AUS;Australia;Canberra;Oceania;7692024;3.4032;1.0099;0.33;1.0381089086381188;0.167628606639728;0.15922954767344275;0.11555371030847425;0.26139313658355523;0.16580476610197079;0.01976474452660807;23820236;2015
6;55;AUS;Australia;Canberra;Oceania;7692024;3.4032;1.0099;0.33;1.0381089086381188;0.167628606639728;0.15922954767344275;0.11555371030847425;0.26139313658355523;0.16580476610197079;0.01976474452660807;25670051;2020
7;55;AUS;Australia;Canberra;Oceania;7692024;3.4032;1.0099;0.33;1.0381089086381188;0.167628606639728;0.15922954767344275;0.11555371030847425;0.26139313658355523;0.16580476610197079;0.01976474452660807;26177413;2022
8;93;PNG;Papua New Guinea;Port Moresby;Oceania;462840;21.9139;1.0194;0.13;2.9169983515858804;0.2473742084860182;0.24484248199877093;0.42518419279622205;0.6750356779963027;0.2856777202549455;0.04030702672098662;2489059;1970
9;93;PNG;Papua New Guinea;Port Moresby;Oceania;462840;21.9139;1.0194;0.13;2.9169983515858804;0.2473742084860182;0.24484248199877093;0.42518419279622205;0.6750356779963027;0.2856777202549455;0.04030702672098662;3104788;1980
10;93;PNG;Papua New Guinea;Port Moresby;Oceania;462840;21.9139;1.0194;0.13;2.9169983515858804;0.2473742084860182;0.24484248199877093;0.42518419279622205;0.6750356779963027;0.2856777202549455;0.04030702672098662;3864972;1990
11;93;PNG;Papua New Guinea;Port Moresby;Oceania;462840;21.9139;1.0194;0.13;2.9169983515858804;0.2473742084860182;0.24484248199877093;0.42518419279622205;0.6750356779963027;0.2856777202549455;0.04030702672098662;5508297;2000
12;93;PNG;Papua New Guinea;Port Moresby;Oceania;462840;21.9139;1.0194;0.13;2.9169983515858804;0.2473742084860182;0.24484248199877093;0.42518419279622205;0.6750356779963027;0.2856777202549455;0.04030702672098662;7583269;2010
13;93;PNG;Papua New Guinea;Port Moresby;Oceania;462840;21.9139;1.0194;0.13;2.9169983515858804;0.2473742084860182;0.24484248199877093;0.42518419279622205;0.6750356779963027;0.2856777202549455;0.04030702672098662;8682174;2015
14;93;PNG;Papua New Guinea;Port Moresby;Oceania;462840;21.9139;1.0194;0.13;2.9169983515858804;0.2473742084860182;0.24484248199877093;0.42518419279622205;0.6750356779963027;0.2856777202549455;0.04030702672098662;9749640;2020
15;93;PNG;Papua New Guinea;Port Moresby;Oceania;462840;21.9139;1.0194;0.13;2.9169983515858804;0.2473742084860182;0.24484248199877093;0.42518419279622205;0.6750356779963027;0.2856777202549455;0.04030702672098662;10142619;2022
16;123;NZL;New Zealand;Wellington;Oceania;270467;19.1716;1.0108;0.07;0.7921471951207852;0.11441218868855878;0.07950671842113291;0.13477320377501664;0.24614358646070075;0.1644591377844981;0.02453106843862827;2824061;1970
17;123;NZL;New Zealand;Wellington;Oceania;270467;19.1716;1.0108;0.07;0.7921471951207852;0.11441218868855878;0.07950671842113291;0.13477320377501664;0.24614358646070075;0.1644591377844981;0.02453106843862827;3147168;1980
18;123;NZL;New Zealand;Wellington;Oceania;270467;19.1716;1.0108;0.07;0.7921471951207852;0.11441218868855878;0.07950671842113291;0.13477320377501664;0.24614358646070075;0.1644591377844981;0.02453106843862827;3397389;1990
19;123;NZL;New Zealand;Wellington;Oceania;270467;19.1716;1.0108;0.07;0.7921471951207852;0.11441218868855878;0.07950671842113291;0.13477320377501664;0.24614358646070075;0.1644591377844981;0.02453106843862827;3855266;2000
20;123;NZL;New Zealand;Wellington;Oceania;270467;19.1716;1.0108;0.07;0.7921471951207852;0.11441218868855878;0.07950671842113291;0.13477320377501664;0.24614358646070075;0.1644591377844981;0.02453106843862827;4346338;2010
21;123;NZL;New Zealand;Wellington;Oceania;270467;19.1716;1.0108;0.07;0.7921471951207852;0.11441218868855878;0.07950671842113291;0.13477320377501664;0.24614358646070075;0.1644591377844981;0.02453106843862827;4590590;2015
22;123;NZL;New Zealand;Wellington;Oceania;270467;19.1716;1.0108;0.07;0.7921471951207852;0.11441218868855878;0.07950671842113291;0.13477320377501664;0.24614358646070075;0.1644591377844981;0.02453106843862827;5061133;2020
23;123;NZL;New Zealand;Wellington;Oceania;270467;19.1716;1.0108;0.07;0.7921471951207852;0.11441218868855878;0.07950671842113291;0.13477320377501664;0.24614358646070075;0.1644591377844981;0.02453106843862827;5185288;2022
24;162;FJI;Fiji;Suva;Oceania;18272;50.8847;1.0056;0.01;0.7444326938749208;0.22164606526493744;0.2107536356894856;0.06673116102661353;0.1498350167986172;0.016850996885664445;0.01015186512273718;527634;1970
25;162;FJI;Fiji;Suva;Oceania;18272;50.8847;1.0056;0.01;0.7444326938749208;0.22164606526493744;0.2107536356894856;0.06673116102661353;0.1498350167986172;0.016850996885664445;0.01015186512273718;644582;1980
26;162;FJI;Fiji;Suva;Oceania;18272;50.8847;1.0056;0.01;0.7444326938749208;0.22164606526493744;0.2107536356894856;0.06673116102661353;0.1498350167986172;0.016850996885664445;0.01015186512273718;780430;1990
27;162;FJI;Fiji;Suva;Oceania;18272;50.8847;1.0056;0.01;0.7444326938749208;0.22164606526493744;0.2107536356894856;0.06673116102661353;0.1498350167986172;0.016850996885664445;0.01015186512273718;832509;2000
28;162;FJI;Fiji;Suva;Oceania;18272;50.8847;1.0056;0.01;0.7444326938749208;0.22164606526493744;0.2107536356894856;0.06673116102661353;0.1498350167986172;0.016850996885664445;0.01015186512273718;905169;2010
29;162;FJI;Fiji;Suva;Oceania;18272;50.8847;1.0056;0.01;0.7444326938749208;0.22164606526493744;0.2107536356894856;0.06673116102661353;0.1498350167986172;0.016850996885664445;0.01015186512273718;917200;2015
30;162;FJI;Fiji;Suva;Oceania;18272;50.8847;1.0056;0.01;0.7444326938749208;0.22164606526493744;0.2107536356894856;0.06673116102661353;0.1498350167986172;0.016850996885664445;0.01015186512273718;920422;2020
31;162;FJI;Fiji;Suva;Oceania;18272;50.8847;1.0056;0.01;0.7444326938749208;0.22164606526493744;0.2107536356894856;0.06673116102661353;0.1498350167986172;0.016850996885664445;0.01015186512273718;929766;2022
