;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Growth (70-80);Growth (80-90);Growth (90-00);Growth (00-10);Growth (10-20);Growth (20-22);Population;Year
144;19;DEU;Germany;Berlin;Europe;357114;233.4544;0.9995;1.05;0.0643008086523687;-0.006486783383213114;0.02035685970647194;0.027484888660222032;0.023971229923328247;0.024640587548074033;0.0004902855654505249;78294583;1970
145;19;DEU;Germany;Berlin;Europe;357114;233.4544;0.9995;1.05;0.0643008086523687;-0.006486783383213114;0.02035685970647194;0.027484888660222032;0.023971229923328247;0.024640587548074033;0.0004902855654505249;77786703;1980
146;19;DEU;Germany;Berlin;Europe;357114;233.4544;0.9995;1.05;0.0643008086523687;-0.006486783383213114;0.02035685970647194;0.027484888660222032;0.023971229923328247;0.024640587548074033;0.0004902855654505249;79370196;1990
147;19;DEU;Germany;Berlin;Europe;357114;233.4544;0.9995;1.05;0.0643008086523687;-0.006486783383213114;0.02035685970647194;0.027484888660222032;0.023971229923328247;0.024640587548074033;0.0004902855654505249;81551677;2000
148;19;DEU;Germany;Berlin;Europe;357114;233.4544;0.9995;1.05;0.0643008086523687;-0.006486783383213114;0.02035685970647194;0.027484888660222032;0.023971229923328247;0.024640587548074033;0.0004902855654505249;81325090;2010
149;19;DEU;Germany;Berlin;Europe;357114;233.4544;0.9995;1.05;0.0643008086523687;-0.006486783383213114;0.02035685970647194;0.027484888660222032;0.023971229923328247;0.024640587548074033;0.0004902855654505249;82073226;2015
150;19;DEU;Germany;Berlin;Europe;357114;233.4544;0.9995;1.05;0.0643008086523687;-0.006486783383213114;0.02035685970647194;0.027484888660222032;0.023971229923328247;0.024640587548074033;0.0004902855654505249;83328988;2020
151;19;DEU;Germany;Berlin;Europe;357114;233.4544;0.9995;1.05;0.0643008086523687;-0.006486783383213114;0.02035685970647194;0.027484888660222032;0.023971229923328247;0.024640587548074033;0.0004902855654505249;83369843;2022
176;23;FRA;France;Paris;Europe;551695;117.1419;1.0015;0.81;0.2762366669697594;0.0631436573009683;0.050249014080731166;0.039929805413113244;0.10281468379695287;0.032596686914331555;0.0022731836154042864;50523586;1970
177;23;FRA;France;Paris;Europe;551695;117.1419;1.0015;0.81;0.2762366669697594;0.0631436573009683;0.050249014080731166;0.039929805413113244;0.10281468379695287;0.032596686914331555;0.0022731836154042864;53713830;1980
